@relation 'training_tututorial1-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West,East}

@data
15,11,False,False,True,True,14,14,North,1,1,South,13,13,East,12,13,West,West
14,11,False,False,True,True,14,13,South,2,1,East,13,14,North,12,13,East,West
15,11,False,False,True,True,14,14,North,2,1,East,13,13,South,13,13,East,East
14,11,False,False,True,True,13,14,West,1,1,West,14,13,East,13,13,North,West
13,11,False,False,True,True,13,15,North,1,1,West,14,14,North,13,14,East,West
14,11,False,False,True,True,13,15,North,1,2,North,13,14,West,14,14,North,East
13,11,False,False,True,True,13,14,South,1,2,North,13,14,West,14,15,West,West
12,11,False,False,True,True,13,14,South,1,3,North,13,13,South,13,15,West,West
13,11,False,False,True,True,13,14,South,1,3,North,14,13,East,13,15,West,East
12,11,False,False,True,True,13,14,South,2,3,East,15,13,East,12,15,West,West
13,11,False,False,True,True,14,14,East,2,3,East,16,13,East,11,15,West,East
14,11,False,False,True,True,14,13,South,3,3,East,15,13,West,10,15,West,East
13,11,False,False,True,True,15,13,East,4,3,East,14,13,West,10,15,West,West
14,11,False,False,True,True,15,13,East,5,3,East,13,13,West,10,15,East,East
15,11,False,False,True,True,14,13,West,5,3,East,14,13,East,11,15,East,East
14,11,False,False,True,True,14,14,North,4,3,West,15,13,East,11,15,East,West
15,11,False,False,True,True,13,14,West,3,3,West,14,13,West,12,15,West,East
14,11,False,False,True,True,13,14,West,3,4,North,14,13,West,11,15,East,West
13,11,False,False,True,True,13,13,South,3,5,North,14,13,West,12,15,East,West
14,11,False,False,True,True,14,13,East,3,5,North,14,14,North,12,15,East,East
15,11,False,False,True,True,14,14,North,3,5,North,13,14,West,13,15,West,East
