@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,8-9,13-15,19-21,25-27,31,50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute DirPACMAN {North,South,East,West}

@data
1,5,False,True,True,False,0,4,-1,2,4,-1,9,0,9,16,4,-1,2,0,2,9,4,13,16,0,16,7,4,11,14,0,14,7,4,11,North
1,5,False,True,True,False,0,4,-1,2,4,-1,9,0,9,16,4,-1,2,0,2,9,4,13,16,0,16,7,4,11,14,0,14,7,4,11,North
11,11,True,True,True,True,3,6,9,4,3,7,4,4,8,1,1,1,1,9,10,7,2,9,2,7,9,8,7,15,3,2,5,5,5,10,North
11,12,True,True,True,True,3,6,9,3,2,5,3,5,8,4,11,-1,0,8,8,6,1,7,1,5,6,6,7,13,1,13,14,7,6,13,North
11,13,True,True,True,True,2,7,9,2,1,3,3,5,8,4,12,-1,0,8,8,5,2,7,2,5,7,5,6,11,2,13,15,7,7,14,North
13,7,True,True,True,True,8,4,12,10,6,-1,1,2,3,6,6,-1,2,2,4,7,6,13,2,2,4,9,8,17,4,0,4,5,8,13,North
13,8,True,True,True,True,7,5,12,10,7,-1,1,2,3,6,7,-1,3,2,5,6,7,13,1,2,3,9,9,18,4,0,4,5,9,14,North
13,9,True,True,True,True,8,6,14,10,8,-1,1,0,1,6,8,-1,2,2,4,7,6,13,2,2,4,9,8,17,4,0,4,5,8,13,North
13,10,True,True,True,True,8,7,15,10,9,-1,1,1,2,6,9,-1,2,2,4,7,6,13,2,2,4,9,8,17,4,0,4,5,8,13,North
10,9,True,True,True,True,4,4,8,7,8,-1,5,8,-1,4,3,7,3,4,7,1,4,5,8,1,9,2,0,2,11,5,16,9,5,14,North
10,10,True,True,True,False,4,5,9,7,9,-1,5,9,-1,4,4,8,3,4,7,1,4,5,8,1,9,2,0,2,11,5,16,9,5,14,North
10,6,True,True,False,True,7,2,9,7,5,-1,5,5,-1,3,5,-1,0,3,3,2,3,5,4,3,7,2,0,2,4,0,4,2,0,2,North
10,7,True,True,False,True,8,3,11,7,6,-1,5,6,-1,3,6,-1,1,3,4,3,3,6,5,3,8,2,0,2,4,0,4,2,0,2,North
9,2,True,True,False,False,7,1,-1,8,1,-1,0,1,-1,1,1,1,1,0,1,7,0,7,6,2,8,8,0,8,7,2,9,1,2,3,North
9,3,False,True,True,True,6,2,-1,7,2,-1,0,1,1,2,2,-1,1,0,1,6,1,7,4,0,4,7,1,8,5,0,5,2,1,3,North
9,3,False,True,True,True,6,2,-1,8,2,-1,0,1,1,3,2,-1,2,0,2,6,1,7,3,0,3,8,1,9,5,0,5,3,1,4,North
9,3,False,True,True,True,6,2,-1,7,2,-1,0,2,-1,4,2,-1,1,0,1,6,0,6,2,0,2,7,0,7,3,0,3,4,0,4,North
9,3,False,True,True,True,5,2,-1,7,2,-1,1,2,-1,3,2,-1,2,0,2,6,0,6,2,0,2,8,0,8,4,0,4,4,0,4,North
1,4,True,True,True,False,1,6,7,0,5,5,2,3,5,2,3,6,1,1,2,1,3,4,1,3,4,2,2,4,2,2,4,0,0,0,North
1,5,True,True,True,False,1,5,6,0,5,5,2,2,4,2,3,4,1,0,1,1,3,4,1,2,3,2,3,5,2,2,4,0,1,1,North
1,6,True,True,True,False,1,4,5,0,4,4,3,1,4,2,1,3,1,0,1,2,3,5,1,3,4,3,3,6,2,3,5,1,0,1,North
1,7,True,True,True,False,2,3,5,0,3,3,3,1,4,2,0,3,2,0,2,1,4,5,0,3,3,3,4,7,2,3,5,1,1,2,North
1,8,True,True,True,False,2,1,3,1,2,3,2,2,4,2,2,5,1,1,2,0,3,3,0,3,3,1,4,5,1,4,5,0,0,0,North
