@RELATION pacman-data

@ATTRIBUTE posX NUMERIC
@ATTRIBUTE posY NUMERIC
@ATTRIBUTE dFood NUMERIC
@ATTRIBUTE North {True, False}
@ATTRIBUTE South {True, False}
@ATTRIBUTE East {True, False}
@ATTRIBUTE West {True, False}
@ATTRIBUTE DirPACMAN {North, South, East, West, Stop}
@ATTRIBUTE Ghost1posX NUMERIC
@ATTRIBUTE Ghost1posY NUMERIC
@ATTRIBUTE dghost1pacmanX NUMERIC
@ATTRIBUTE dghost1pacmanY NUMERIC
@ATTRIBUTE dGhost1 NUMERIC
@ATTRIBUTE DirGhost1 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost2posX NUMERIC
@ATTRIBUTE Ghost2posY NUMERIC
@ATTRIBUTE dghost2pacmanX NUMERIC
@ATTRIBUTE dghost2pacmanY NUMERIC
@ATTRIBUTE dGhost2 NUMERIC
@ATTRIBUTE DirGhost2 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost3posX NUMERIC
@ATTRIBUTE Ghost3posY NUMERIC
@ATTRIBUTE dghost3pacmanX NUMERIC
@ATTRIBUTE dghost3pacmanY NUMERIC
@ATTRIBUTE dGhost3 NUMERIC
@ATTRIBUTE DirGhost3 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost4posX NUMERIC
@ATTRIBUTE Ghost4posY NUMERIC
@ATTRIBUTE dghost4pacmanX NUMERIC
@ATTRIBUTE dghost4pacmanY NUMERIC
@ATTRIBUTE dGhost4 NUMERIC
@ATTRIBUTE DirGhost4 {North, South, East, West, Stop, -1}
@ATTRIBUTE dg1g2X NUMERIC
@ATTRIBUTE dg1g2Y NUMERIC
@ATTRIBUTE dg1g2M NUMERIC
@ATTRIBUTE dg1g3X NUMERIC
@ATTRIBUTE dg1g3Y NUMERIC
@ATTRIBUTE dg1g3M NUMERIC
@ATTRIBUTE dg1g4X NUMERIC
@ATTRIBUTE dg1g4Y NUMERIC
@ATTRIBUTE dg1g4M NUMERIC
@ATTRIBUTE dg2g3X NUMERIC
@ATTRIBUTE dg2g3Y NUMERIC
@ATTRIBUTE dg2g3M NUMERIC
@ATTRIBUTE dg2g4X NUMERIC
@ATTRIBUTE dg2g4Y NUMERIC
@ATTRIBUTE dg2g4M NUMERIC
@ATTRIBUTE dg3g4X NUMERIC
@ATTRIBUTE dg3g4Y NUMERIC
@ATTRIBUTE dg3g4M NUMERIC
@ATTRIBUTE score0 NUMERIC
@ATTRIBUTE score1 NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE score3 NUMERIC


@data
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 379, 378, 377, 376
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 378, 377, 376, 375
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 377, 376, 375, 374
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 376, 375, 374, 373
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 375, 374, 373, 372
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 374, 373, 372, 371
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 373, 372, 371, 370
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 372, 371, 370, 369
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 371, 370, 369, 368
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 370, 369, 368, 367
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 369, 368, 367, 366
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 368, 367, 366, 365
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 367, 366, 365, 364
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 366, 365, 364, 363
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 365, 364, 363, 362
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 364, 363, 362, 361
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 363, 362, 361, 360
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 362, 361, 360, 359
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 361, 360, 359, 358
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 360, 359, 358, 357
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 359, 358, 357, 356
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 358, 357, 356, 355
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 357, 356, 355, 354
1, 6, 20, True, True, True, False, West, 1, 1, 0, 5, -1, Stop, 5, 12, 4, 6, 10, Stop, 5, 1, 4, 5, -1, Stop, 13, 12, 12, 6, 18, Stop, 4, 11, 15, 4, 0, 4, 12, 11, 23, 0, 11, 11, 8, 0, 8, 8, 11, 19, 356, 355, 354, 353
