@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West}

@data
15,6,True,True,True,True,4,4,South,8,13,West,11,3,West,11,12,West,South
15,5,True,True,True,True,5,4,East,9,13,East,11,3,West,11,12,West,South
10,4,True,True,True,False,7,5,East,13,14,East,5,1,East,12,12,West,South
10,3,True,False,True,True,6,5,West,13,14,East,5,1,East,11,12,West,South
10,3,True,False,True,True,6,6,North,14,14,East,5,1,East,11,12,West,South
1,17,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,16,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,15,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,14,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,13,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,12,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,11,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,10,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,9,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,8,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,7,True,True,False,False,5,9,East,11,3,East,17,6,East,25,13,East,South
1,6,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,South
6,8,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
6,7,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
6,6,True,False,True,True,1,1,East,11,3,East,17,6,East,25,13,East,South
11,5,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
11,4,True,True,False,True,1,1,East,11,3,East,17,6,East,25,13,East,South
11,3,True,False,False,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,11,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,10,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,9,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,8,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,7,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,South
14,6,True,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,South
13,12,True,True,True,True,7,6,West,3,1,East,13,8,South,7,1,East,South
13,11,True,True,True,True,6,6,West,3,1,East,13,7,South,7,1,East,South
13,10,True,True,True,True,6,5,South,3,1,East,14,7,East,7,1,East,South
13,9,True,True,True,True,6,4,South,3,1,East,14,8,North,7,1,East,South
13,8,True,True,True,True,6,3,South,3,1,East,14,7,South,7,1,East,South
13,7,True,True,True,True,6,3,South,3,1,East,15,7,East,7,1,East,South
13,6,True,True,True,True,5,3,West,3,1,East,14,7,West,7,1,East,South
10,9,True,True,True,True,6,3,East,3,1,East,11,8,South,7,1,East,South
10,8,True,True,True,True,7,3,East,3,1,East,5,1,East,7,1,East,South
10,7,True,True,True,True,6,3,West,3,1,East,5,1,East,7,1,East,South
6,10,True,True,False,True,6,5,East,6,9,East,5,1,East,14,6,East,South
6,9,True,True,True,True,6,5,East,3,1,East,5,1,East,14,6,East,South
6,8,True,True,True,True,6,5,East,3,1,East,5,1,East,14,6,East,South
11,9,True,False,True,True,6,5,East,3,1,East,5,1,East,14,6,East,South
11,9,True,False,True,True,6,5,East,3,1,East,5,1,East,14,6,East,South
11,9,True,False,True,True,6,5,East,3,1,East,5,1,East,14,6,East,South
14,8,True,True,True,True,6,5,East,3,1,East,5,1,East,14,6,East,South
14,7,True,True,True,True,6,5,East,3,1,East,5,1,East,14,6,East,South
14,6,True,True,False,False,6,5,East,3,1,East,5,1,East,7,1,East,South
14,5,True,True,True,True,6,5,East,3,1,East,5,1,East,7,1,East,South
11,10,True,True,False,True,4,3,South,10,9,East,5,1,East,16,5,North,South
11,9,True,False,True,True,5,3,East,10,9,East,5,1,East,16,5,North,South
11,9,True,False,True,True,6,3,East,3,1,East,5,1,East,16,5,South,South
15,8,True,True,True,True,7,3,South,3,1,East,5,1,East,16,3,North,South
15,7,True,False,True,True,8,3,East,3,1,East,5,1,East,16,4,North,South
15,7,True,False,True,True,8,4,North,3,1,East,5,1,East,16,5,East,South
14,6,True,True,False,False,7,5,West,3,1,East,5,1,East,17,4,South,South
14,5,True,True,True,True,6,5,West,3,1,East,5,1,East,17,4,North,South
10,6,True,True,False,True,2,4,West,3,1,East,5,1,East,7,1,East,South
10,5,True,True,True,True,3,4,East,3,1,East,5,1,East,7,1,East,South
10,4,True,True,True,True,3,4,East,3,1,East,5,1,East,7,1,East,South
